,station_name,street_address,city,access_days_time,evse_units,latitude,longitude
101,BIG Y FOODS,401 Bridgeport Ave,Shelton,24 Hours,2,-73.11066,41.29434
102,WHOLE FOODS MKT,5 Sugar Hollow Rd,Danbury,24 Hours,1,-73.475576,41.3777667
104,Canton Town Hall,4 Market St,Canton,24 Hours,2,-72.923177,41.811022
105,UNION STATION,50 Union Ave,New Haven,24 Hours,2,-72.9263108,41.2974027
106,TOD,120 Main St,Durham,24 Hours,2,-72.6809263,41.472228
107,Delamar Southport - Tesla Destination,275 Old Post Rd,Fairfield,24 Hours,3,-73.245943,41.146162
108,Andrew Ward School,755 Melville Ave,Fairfield,Regular,2,-73.234423,41.185685
109,Connecticut Department of Energy and Environmental Protection,79 Elm St,Hartford,Regular,2,-72.678633,41.763294
110,Arapahoe Parking Lot,105 LaSalle Rd,West Hartford,Regular,1,-72.744596,41.759108000000005
111,Southington Public Library,255 Main St,Southington,24 Hours,2,-72.877465,41.596225
112,NBCSG,84 Maher Rd,Stamford,24 Hours,2,-73.5160406,41.053776
113,Paul Miller Nissan,930 Kings Hwy E,Fairfield,Regular,1,-73.233711,41.167407
114,Town of New Fairfield - Town Hall,4 Brush Hill Rd,New Fairfield,24 Hours,1,-73.487032,41.465514
115,Chip's Family Restaurant - Tesla Destination,321  Boston Post Rd,Orange,24 Hours,2,-73.004741,41.2645
116,George Harte Nissan,426 Derby Ave,West Haven,Regular,2,-72.968506,41.307602
118,East Shore District Health Department,688 E Main St,Branford,24 Hours,6,-72.756902,41.305071
119,Ridgefield BMW,746 Danbury Rd,Ridgefield,Regular,2,-73.472615,41.331117
120,Big Y,22 Spencer Plain Rd,Old Saybrook,24 Hours,1,-72.416634,41.28648200000001
122,Bridgeport Hospital,267 Grant St,Bridgeport,24 Hours,2,-73.166282,41.190701
123,Town of Stafford - Community Center,3 Buckley Hwy,Stafford Springs,24 Hours,1,-72.289249,41.956727
124,Constitution Plaza - South,109 Constitution Plaza,Hartford,24 Hours,1,-72.670032,41.767185
125,Coventry Town Hall,1712 Main St,Coventry,24 Hours,2,-72.312334,41.780058
126,Curran Volkswagen,2785 Main St,Stratford,Regular,1,-73.131808,41.198467
127,644 West Putnam,644 West Putnam Avenue,Greenwich,Regular,3,-73.6476069,41.016928
128,Grove Street Parking Garage,65 Grove Street,New Haven,Regular,2,-72.9217309,41.3103893
129,Mohegan Sun - Tesla Destination,1 Mohegan Sun Blvd,Uncasville,24 Hours,5,-72.08668800000001,41.488423
131,Central Connecticut State University - Vance Garage,150 Paul Manafort Sr. Dr,New Britain,Regular,2,-72.766414,41.690789
132,City of New Haven - Crown Street Parking Garage,213 Crown St,New Haven,24 Hours,2,-72.928864,41.305993
133,Figaro Restaurant,90 Elm St,Enfield,Regular,1,-72.583384,41.997588
134,Middletown School District - Board of Education,311 Hunting Hill Ave,Middletown,24 Hours,2,-72.647076,41.541535
135,Mansfield Parking Garage,9 Dog Ln,Storrs,Regular,4,-72.243355,41.804877
136,Brass Mill Center - Entrance 6,495 Union St,Waterbury,Regular,2,-73.026799,41.55022
137,Ellington Town Hall,55 Main St,Ellington,24 Hours,2,-72.467484,41.903582
138,Fairfield Tennis Center,210 Old Dam Rd,Fairfield,24 Hours,2,-73.2665157,41.1247386999999
139,Trinity College,18-60 Crescent St,Hartford,24 Hours,4,-72.689438,41.745582
140,Saugatuck Fire Station,Railroad Place,Westport,Regular,7,-73.370496,41.119206
141,COMCAST,222 New Park Dr,Berlin,24 Hours,4,-72.749512,41.597163
142,Kent Town Hall,41 Kent Green Blvd,Kent,24 Hours,2,-73.47251,41.727419
144,County Line Nissan - North,522 Winsted Rd,Torrington,Regular,1,-73.1107105,41.8269547
145,TOWN OF MADISON,761 Boston Post Rd,Madison,24 Hours,2,-72.595184,41.28028400000001
146,Rocky Neck State Park,244 W Main St,Niantic,Regular,2,-72.24323,41.300883
147,ELEMENT STATION,111 Morgan St,Stamford,24 Hours,2,-73.5370682,41.0631099
148,Saybrook Point Marina,2 Bridge St,Old Saybrook,24 Hours,1,-72.351019,41.283487
149,Town of Groton - Town Hall,45 Fort Hill Rd,Groton,24 Hours,2,-72.033489,41.345816
150,Harte Nissan,165 W Service Rd,Hartford,Regular,1,-72.656681,41.791382000000006
151,Highland Park Market,317 Highland St,Manchester,24 Hours,2,-72.490259,41.766005
152,Nissan - Norwich,691 W Thames St,Norwich,Regular,1,-72.097938,41.498591
155,Aitoro Appliance,401 Westport Ave,Norwalk,Regular,1,-73.390319,41.126373
156,Putnam Downtown Municipal Parking Lot,165 Kennedy Dr,Putnam,24 Hours,1,-71.9105761999999,41.914329
157,NYALA GAR 3,400 Nyala Farms Rd,Westport,24 Hours,2,-73.3269248,41.1223426
158,WHOLE FOODS MKT,5c Sugar Hollow Rd,Danbury,24 Hours,2,-73.4755929,41.3781241
159,East Norwalk Library,51 Van Zant St,Norwalk,24 Hours,4,-73.40565000000001,41.102079
161,Propark America - Omni Hotel Chapel Square Garage,155 Temple St,New Haven,24 Hours,2,-72.927405,41.305794
162,Mystic Marriott Hotel and Spa - Tesla Destination,625 North Rd,Groton,24 Hours,2,-72.025954,41.365919
163,Connecticut Post Mall - Target,1201 Boston Post Rd,Milford,Regular,2,-73.038159,41.235232
164,SPIREP,1 N Water St,Norwalk,24 Hours,2,-73.4165867,41.0999699
165,Town of Norfolk - Town Clerk,19 Maple Ave,Norfolk,24 Hours,2,-73.197598,41.990635
167,Clinton Town Hall,54 E Main St,Clinton,24 Hours,2,-72.524041,41.276743
168,Cargill Chevrolet,23 Livery St,Putnam,24 Hours,3,-71.90810200000001,41.916161
169,Bedford Street Garage,17 Forest St,Stamford,Regular,4,-73.537286,41.056092
170,Pomfret Town Hall,5 Haven Rd,Pomfret,24 Hours,2,-71.9986079999999,41.859648
171,Delamar Greenwich Harbor - Tesla Destination,500 Steamboat Rd,Greenwich,24 Hours,3,-73.623525,41.017757
172,East Hartford Public Schools - Department of Facilities,734 Tolland St,East Hartford,24 Hours,2,-72.602704,41.784813
173,Windham Municipal Parking Lot,48 Church St,Willimantic,24 Hours,2,-72.211716,41.712492
174,Heritage Hotel - Tesla Destination,522 Heritage Rd,Southbury,24 Hours,2,-73.225707,41.491538
175,Tri-Town Teachers Federal Credit Union,61 Jessup Rd,Westport,24 Hours,2,-73.358893,41.140188
176,Morgan Street Garage,155 Morgan St,Hartford,24 Hours,4,-72.672545,41.769974
177,NBCSG,Unnamed Road,Stamford,24 Hours,8,-73.5160366,41.0532451
178,Napoli Nissan,688 Bridgeport Ave,Milford,Regular,1,-73.083686,41.209761
179,Congregational Church of Somersville,22 Maple St,Somersville,24 Hours,2,-72.489406,41.983904
181,Town of Hamden - Spring Glen Municipal Parking Lot,1665 Whitney Ave,Hamden,24 Hours,2,-72.909054,41.359826
182,City of Milford - Parsons Government Center,70 W River St,Milford,24 Hours,1,-73.062364,41.226575
183,Hoffman Nissan,46 Albany Turnpike,West Simsbury,Regular,1,-72.869319,41.820371
184,Premier Chevrolet,512 Providence Rd,Brooklyn,Regular,1,-71.906607,41.798222
185,The Wallingford Victorian Inn - Tesla Destination,245 N Main St,Wallingford,24 Hours,2,-72.815676,41.45749
186,HONDADANBURY,102 Federal Rd,Danbury,24 Hours,2,-73.4232598,41.4158651
187,Village Center,87 Main St,East Hampton,24 Hours,1,-72.501947,41.575311
188,Connecticut Department of Corrections,38 Wolcott Hill Rd,Wethersfield,24 Hours,2,-72.6724543999999,41.725002
189,Stamford Marriott Hotel - Tesla Destination,243 Tresser Blvd,Stamford,24 Hours,3,-73.53513900000002,41.051614
190,Woodbridge Town Library,10 Newton Rd,Woodbridge,24 Hours,2,-73.011407,41.353582
