,station_name,street_address,city,access_days_time,evse_units,latitude,longitude
266,Wallingford Shopping Center,930 N Colony Rd,Wallingford,24 Hours,2,-72.807124,41.483774
267,Fairfield Parks and Recreation Center,75 Mill Plain Rd,Fairfield,24 Hours,2,-73.263962,41.142152
268,The Westport Library,20 Jesup Road,Westport,Regular,2,-73.3613829,41.1396711
269,Homestead Inn - Thomas Henkelmann - Tesla Destination,420 Field Point Rd,Greenwich,24 Hours,3,-73.634045,41.015276
270,MORSCHES FF,95 Reef Rd,Fairfield,24 Hours,2,-73.2564712,41.1399023
271,Panera Bread,1129 Silas Deane Hwy,Wethersfield,24 Hours,1,-72.656507,41.691611
272,Hoffman Toyota,36 Albany Turnpike,West Simsbury,Regular,1,-72.867973,41.818345
273,Ferguson Library - Harry Bennett Branch,115 Vine Rd,Stamford,24 Hours,2,-73.544039,41.099044
274,City of Hartford - Department of Public Works,50 Jennings Rd,Hartford,24 Hours,1,-72.652406,41.785974
275,Hammonasset Beach State Park - North,1288 Boston Post Rd,Madison,24 Hours,4,-72.561988,41.26449
276,Metro Center Garage,1 Station Place,Stamford,Regular,1,-73.54198740000001,41.0457112
277,Middletown Nissan,1153 Newfield St,Middletown,Regular,3,-72.676141,41.59054
278,Wesleyan University,Lawn Ave & High St,Middletown,24 Hours,2,-72.65395,41.553597
279,Newington Town Center - Municipal Parking Lot,83 Market Square,Newington,24 Hours,2,-72.721392,41.696446
281,Connecticut Post Mall - NW Entrance,1201 Boston Post Rd,Milford,Regular,2,-73.036899,41.23608
282,Girard Nissan,425 Gold Star Hwy,Groton,Regular,1,-72.054118,41.370989
284,Goodwin University,211 Riverside Dr,East Hartford,24 Hours,2,-72.640075,41.743194
285,Greater Hartford Transit District - Spruce Street Lot,1 Union Pl,Hartford,24 Hours,1,-72.68182500000002,41.769417
286,Illiano's Restaurant,257 W Town St,Yantic,Regular,1,-72.113144,41.55775
287,Town of Hamden - Police Department,2900 Dixwell Ave,Hamden,24 Hours,2,-72.903596,41.384051
288,Fairfield Senior Center,100 Mona Terrace,Fairfield,24 Hours,2,-73.26088,41.132277
289,Butler Street Parking Lot,30 Butler St,Meriden,24 Hours,2,-72.805988,41.53697
290,Propark - 777 Main,777 Main St,Hartford,Regular,17,-72.67363400000002,41.766034
291,JOHN ST CHARGER,234 John St,Bridgeport,24 Hours,2,-73.1911131,41.1772308
293,PRESTIGE VW,42-46 W Broad St,Stamford,24 Hours,2,-73.5464906,41.0553525
294,Fairfield Recreation Center,75 Mill Plain Rd,Fairfield,24 Hours,2,-73.264636,41.14221200000001
295,Norwalk Community College,188 Richards Ave,Norwalk,Regular,2,-73.452539,41.102848
296,LAZ Fly Airport Parking,24 Ella Grasso Turnpike,Windsor Locks,24 Hours,2,-72.672748,41.918347
297,CT RAIL,60 State St,Meriden,24 Hours,2,-72.8007814,41.5394301
298,Killingly Town Hall,172 Main St,Killingly,24 Hours,1,-71.88232300000001,41.80577
299,Central Connecticut State University - Welte Hall Parking Lot,105 Ella Grasso Blvd,New Britain,24 Hours,3,-72.768107,41.693501
300,The Inn at Woodstock Hill,94 Plaine Hill Rd,Woodstock,24 Hours,1,-71.97262186000002,41.94378281
301,Wilton Public Library,137 Old Ridgefield Rd,Wilton,Regular,1,-73.43124,41.192802
302,HAJJAR,213 Court St,Middletown,24 Hours,2,-72.65018090000001,41.5590961
303,Goodwin University,403 Main St,East Hartford,24 Hours,2,-72.639362,41.749499
